,base_asset,compare_asset,label
0,AADR,DAX,0
225,FPXI,IBB,0
224,FNX,PSCC,0
223,FNX,INDY,0
222,FNK,VYMI,0
221,FNK,NFTY,0
220,FNK,INDY,0
216,FKU,SMCP,0
215,FKU,QABA,0
214,FKU,FTXR,0
213,FID,VTWV,0
212,FID,QABA,0
211,FID,PSCF,0
210,FID,PDBC,0
209,FID,NFTY,0
208,FID,FTGC,0
226,FSZ,HEWG,0
227,FSZ,NZAC,0
228,FSZ,PFI,0
229,FSZ,PIE,0
253,FTXR,NFTY,0
252,FTXR,INDY,0
251,FTXH,XT,0
250,FTXH,VTHR,0
249,FTXH,VONE,0
248,FTXH,SDG,0
247,FTXH,RTH,0
207,FEX,PSCC,0
246,FTXH,QQXT,0
244,FTXH,PDP,0
243,FTXH,NXTG,0
240,FTRI,PEY,0
233,FTHI,KBWP,0
232,FTCS,VONE,0
231,FTCS,PSET,0
230,FTA,FTRI,0
245,FTXH,PSCC,0
206,FEUZ,SMCP,0
205,FEUZ,QABA,0
204,FEUZ,PDBC,0
183,FDT,QABA,0
182,FDT,PDBC,0
181,FDT,FEUZ,0
180,FCVT,IBB,0
179,FCVT,GENY,0
178,FCVT,FPXI,0
177,FCEF,PFI,0
184,FEM,FEP,0
176,FCEF,INDY,0
173,ESGU,PHO,0
172,ESGE,VTWG,0
171,ESGD,VTWO,0
170,ESGD,PIE,0
169,ESGD,PFI,0
168,ESGD,INDY,0
167,ESGD,HEWG,0
174,FAB,NFTY,0
254,FTXR,RFEU,0
369,VTWO,VXUS,0
187,FEM,FTXR,0
203,FEP,SMCP,0
202,FEP,QABA,0
201,FEP,PDBC,0
200,FEP,IPKW,0
199,FEP,FTXR,0
198,FEMS,PIE,0
197,FEMS,IPKW,0
186,FEM,FKU,0
196,FEMS,IEUS,0
194,FEMS,FTXR,0
193,FEM,VTWV,0
192,FEM,SMCP,0
191,FEM,QABA,0
190,FEM,PSCF,0
189,FEM,PDBC,0
188,FEM,IFV,0
195,FEMS,HEWG,0
255,FTXR,VYMI,0
256,FVC,PSCC,0
257,FVC,PY,0
335,NXTG,NZAC,0
334,NFTY,VYMI,0
333,NFTY,VTWV,0
332,NFTY,PRFZ,0
331,MDIV,PDBC,0
329,LVHD,QAT,0
328,KRMA,PHO,0
336,NZAC,PFI,0
327,KBWP,LVHD,0
325,IXUS,VXUS,0
324,IXUS,PIE,0
323,IUSV,USLB,0
314,ISHP,VIGI,0
313,IPKW,RFDI,0
312,INDY,VYMI,0
311,INDY,VTWV,0
326,KBWD,PDBC,0
310,INDY,VTWO,0
337,PDBC,PSCF,0
339,PDBC,SMCP,0
367,VIGI,VTWG,0
354,RNRG,SDG,0
353,QABA,VYMI,0
352,PUI,QAT,0
351,PSC,PSCU,0
350,PSC,PSCC,0
349,PRFZ,PSCC,0
338,PDBC,QABA,0
348,PRFZ,PSC,0
346,PIE,VXUS,0
345,PIE,SCZ,0
344,PHO,VTHR,0
343,PHO,VONE,0
342,PHO,PSET,0
341,PDBC,VYMI,0
340,PDBC,VTWV,0
347,PPH,PSCC,0
166,ESGD,FSZ,0
309,INDY,VONV,0
307,INDY,PY,0
275,HEWG,VIGI,0
274,HEWG,RFEU,0
273,HEWG,PSCC,0
272,HEWG,PRFZ,0
271,HEWG,PIZ,0
270,HEWG,PIO,0
269,HEWG,PIE,0
276,HEWG,VTWO,0
268,HEWG,PHO,0
266,HEWG,NZAC,0
265,HEWG,NXTG,0
264,HEWG,IXUS,0
263,HEWG,INDY,0
262,HEWG,IJT,0
261,HEWG,IEUS,0
258,GENY,VTWG,0
267,HEWG,PFI,0
308,INDY,RFEU,0
277,HEWG,VXUS,0
279,IDLB,PDBC,0
306,INDY,PSCU,0
305,INDY,PSCC,0
304,INDY,PSC,0
303,INDY,PRFZ,0
302,INDY,PKW,0
301,INDY,PFI,0
300,IJT,PSCC,0
278,HEWG,XT,0
299,IJT,INDY,0
288,IGF,PEY,0
287,IGF,LVHD,0
286,IGF,KBWP,0
285,IFV,RFEM,0
284,IEUS,SCZ,0
283,IEUS,PIE,0
282,IEUS,IPKW,0
289,IGF,QAT,0
165,ENZL,IBB,0
185,FEM,FEUZ,0
72,CIL,PSCU,0
67,CIL,NFTY,0
66,CIL,INDY,0
65,CIL,IJT,0
64,CIL,FTXR,0
63,CIL,DGRS,0
62,CIL,CSF,0
61,CID,UAE,0
68,CIL,PFI,0
60,CID,QABA,0
58,CID,FTGC,0
57,CFO,PPH,0
56,CFO,FEX,0
55,CDC,PPH,0
54,CATH,FTCS,0
47,BJK,RFEM,0
